player,game,genre,score,hours_played,kills,deaths,assists
Alex,Valorant,FPS,89,210,320,210,140
Jamie,Apex Legends,FPS,91,180,290,200,120
Sam,Fortnite,Battle Royale,85,195,250,190,100
Jordan,Overwatch 2,FPS,90,160,275,180,160
Taylor,Valorant,FPS,92,200,310,205,150
Chris,Apex Legends,FPS,87,175,260,195,110
Morgan,Fortnite,Battle Royale,93,220,330,210,130
Alex,Overwatch 2,FPS,88,150,240,170,180
Jamie,Valorant,FPS,94,210,350,200,160
Sam,Apex Legends,FPS,86,190,255,210,105
Jordan,Fortnite,Battle Royale,89,170,270,195,120
Taylor,Overwatch 2,FPS,91,165,280,185,170
Chris,Valorant,FPS,85,200,245,215,140
Morgan,Apex Legends,FPS,90,210,300,205,130
Alex,Fortnite,Battle Royale,87,230,310,220,110
Jamie,Overwatch 2,FPS,92,205,295,190,180
Sam,Valorant,FPS,88,180,260,200,150
Jordan,Apex Legends,FPS,90,200,285,210,125
Taylor,Fortnite,Battle Royale,91,205,300,215,135
Chris,Overwatch 2,FPS,88,175,265,190,175
Morgan,Valorant,FPS,95,240,360,210,160
Alex,Apex Legends,FPS,90,185,275,200,120
Jamie,Fortnite,Battle Royale,89,215,295,205,115
Sam,Overwatch 2,FPS,87,165,250,195,170
Jordan,Valorant,FPS,92,200,310,205,145
Taylor,Apex Legends,FPS,89,190,270,200,130
Chris,Fortnite,Battle Royale,86,210,280,220,105
Morgan,Overwatch 2,FPS,94,215,340,200,180
Alex,Valorant,FPS,91,220,330,210,150
Jamie,Apex Legends,FPS,93,195,310,205,135
